,name,alcohol,smoking_area,dress_code,accessibility,price,Rambience,area,parking_lot,rating,food_rating,service_rating,Entre Semana,Sabado,Domingo,American_Express,Carte_Blanche,MasterCard-Eurocard,VISA,bank_debit_cards,cash,American,Armenian,Bakery,Bar,Bar_Pub_Brewery,Breakfast-Brunch,Burgers,Cafe-Coffee_Shop,Cafeteria,Chinese,Contemporary,Family,Fast_Food,Game,International,Italian,Japanese,Mexican,Pizzeria,Regional,Seafood,Vietnamese
0,puesto de gorditas,No_Alcohol_Served,permitted,informal,no_accessibility,low,familiar,open,public,0.5,1.0,0.25,08:00-12:00;,00:00-00:00;,00:00-00:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Cafe Chaires,No_Alcohol_Served,not permitted,informal,completely,low,familiar,closed,yes,0.9090909090909091,1.0,0.9090909090909091,00:00-23:30;,00:00-23:30;,00:00-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,tacos de barbacoa enfrente del Tec,No_Alcohol_Served,not permitted,informal,completely,low,familiar,open,public,0.5,1.25,0.5,09:30-23:30;,09:00-23:30;,09:00-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Hamburguesas La perica,No_Alcohol_Served,permitted,informal,completely,low,quiet,open,public,1.2,1.4,1.0,19:00-02:00;,19:00-02:00;,19:00-02:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Pollo_Frito_Buenos_Aires,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,yes,0.75,0.75,0.75,12:00-18:00;,10:00-18:00;,00:00-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,carnitas_mata,No_Alcohol_Served,permitted,informal,completely,medium,familiar,closed,yes,1.0,1.2,0.8,08:00-16:00;,07:00-16:00;,07:00-16:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,la perica hamburguesa,No_Alcohol_Served,none,informal,completely,medium,familiar,closed,yes,1.25,1.0,1.0,00:00-23:30;,00:00-23:30;,00:00-23:30;,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,little pizza Emilio Portes Gil,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none,1.3333333333333333,2.0,1.3333333333333333,00:00-23:30;,00:00-23:30;,00:00-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,tacos de la estacion,No_Alcohol_Served,none,informal,no_accessibility,low,quiet,open,none,1.0,1.0,0.5,09:00-16:00;,09:00-16:00;,09:00-16:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,tortas hawai,No_Alcohol_Served,not permitted,informal,partially,medium,familiar,closed,public,1.3333333333333333,1.3333333333333333,1.0,09:30-21:30;,09:30-21:30;,09:30-21:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Gordas de morales,Full_Bar,section,informal,completely,medium,familiar,closed,public,1.1666666666666667,1.1666666666666667,1.0,06:30-15:00;,00:00-23:30;,00:00-23:30;,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Taqueria EL amigo ,No_Alcohol_Served,none,casual,completely,low,familiar,open,none,0.6666666666666666,1.0,1.1666666666666667,19:00-01:00;,19:00-01:00;,19:00-01:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Little Cesarz,No_Alcohol_Served,not permitted,informal,completely,medium,familiar,closed,yes,1.1666666666666667,1.1666666666666667,1.0,10:30-22:30;,10:30-22:30;,09:00-21:00;,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Carreton de Flautas y Migadas,No_Alcohol_Served,permitted,informal,completely,low,familiar,open,none,0.8,1.4,0.6,08:30-12:00;,08:30-12:00;,08:30-12:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Cabana Huasteca,No_Alcohol_Served,none,informal,partially,medium,familiar,closed,none,1.4285714285714286,1.2857142857142858,1.1428571428571428,08:00-20:00;,08:00-20:00;,08:00-18:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,La Estrella de Dimas,No_Alcohol_Served,none,informal,partially,medium,familiar,closed,public,1.6666666666666667,2.0,1.3333333333333333,00:00-23:30;,00:00-23:30;,00:00-23:30;,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Mikasa,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,yes,0.6666666666666666,1.0,0.6666666666666666,00:00-23:30;,00:00-23:30;,00:00-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Restaurant Familiar El Chino,Wine-Beer,permitted,casual,partially,medium,familiar,open,yes,1.0,1.3333333333333333,1.0,14:00-20:00;,14:00-23:30;,12:30-23:30;,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Mariscos Tia Licha,No_Alcohol_Served,not permitted,casual,partially,medium,familiar,closed,none,1.2,1.4,1.0,09:00-19:00;,10:00-18:00;,10:00-19:00;,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,El cotorreo,Wine-Beer,permitted,informal,no_accessibility,low,familiar,open,none,1.3333333333333333,1.3333333333333333,1.6666666666666667,10:00-18:00;,10:00-13:00;,10:00-13:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20,puesto de tacos,No_Alcohol_Served,none,informal,completely,low,familiar,open,none,1.1818181818181819,1.2727272727272727,0.7272727272727273,09:00-12:00;,09:00-12:00;,09:00-12:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Gorditas Doa Gloria,No_Alcohol_Served,not permitted,casual,no_accessibility,low,familiar,closed,public,1.0,1.1666666666666667,0.8333333333333334,08:30-15:00;,00:00-23:30;,00:00-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Cenaduria El Rincón de Tlaquepaque,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none,1.0,0.75,1.0,19:30-23:30;,19:30-23:30;,19:30-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,el lechon potosino ,No_Alcohol_Served,permitted,casual,no_accessibility,low,familiar,open,none,1.25,1.25,1.0,08:00-23:30;,08:00-23:30;,08:00-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,KFC,No_Alcohol_Served,not permitted,informal,completely,low,familiar,closed,yes,1.5,1.0,1.0,09:00-22:00;,09:00-22:00;,09:00-22:00;,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,Sirlone,Wine-Beer,none,informal,completely,medium,familiar,closed,yes,1.2,1.6,1.0,10:30-22:00;,10:30-22:00;,10:30-22:00;,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Unicols Pizza,Wine-Beer,none,informal,completely,low,familiar,closed,none,0.7777777777777778,1.1111111111111112,0.8888888888888888,10:30-22:30;,10:30-22:30;,10:30-22:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Hamburguesas Valle Dorado,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none,0.8,1.4,0.6,18:30-23:30;,18:30-23:30;,18:30-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
