,Nombre,Score,Excelente,MuyBueno,Normal,Malo,Pesimo,Num_Reviews,Tipo_Cocina,Awards,Direccion,Web_TripAdvisor,Num_Reviews_Spain,Europa,América del Norte,América del Sur,Asia,Oriente Medio y África,Otros,€,€€ - €€€,€€€€,Total,cluster,cluster_kmeans
0,El Capote,3.5,0.25806451612903225,0.3225806451612903,0.12903225806451613,0.0967741935483871,0.1935483870967742,35,'Española',0,"['Calle Alcala 269', ' 28027 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d2009973-Reviews-El_Capote-Madrid.html,31,1,0,0,0,0,0,True,False,False,1.0,0,0
1,La Queda,4.5,0.7272727272727273,0.2727272727272727,0.0,0.0,0.0,13,'Española',0,"['Calle de Antonio López', ' 48', ' 28019 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d17851073-Reviews-La_Queda-Madrid.html,11,1,0,0,0,0,0,True,False,False,1.0,0,0
2,Limbo Tribunal,4.0,0.4942528735632184,0.3275862068965517,0.06321839080459771,0.06896551724137931,0.04597701149425287,191,"'Restaurante de carne', 'Barbacoa'",1,"['Calle de San Mateo 3', ' 28004 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d14921240-Reviews-Limbo_Tribunal-Madrid.html,174,0,0,0,0,0,0,False,True,False,1.0,1,1
3,400 Grados Pizza - Maria de Molina,5.0,0.9090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.0,25,"'Italiana', 'Pizza', 'Saludable'",0,"['Calle Maria de Molina 30', ' 28006 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d21407059-Reviews-400_Grados_Pizza_Maria_de_Molina-Madrid.html,22,1,0,0,0,0,1,False,True,False,0.9999999999999999,1,2
4,Ginos,3.5,0.2777777777777778,0.2037037037037037,0.2037037037037037,0.16666666666666666,0.14814814814814814,66,"'Italiana', 'Mediterránea', 'Opciones vegetarianas'",0,"[""Calle de O'donnell"", ' 17', ' 28009 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d8758881-Reviews-Ginos_O_Donnell-Madrid.html,54,1,0,0,0,0,0,False,True,False,1.0,1,2
5,Tento,2.0,0.0,0.0,0.0,1.0,0.0,1,"'Mediterránea', 'Española'",0,"['Calle de Serrano Galvache', ' 56', ' 28033 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d12936963-Reviews-Tento-Madrid.html,1,1,0,0,0,0,0,True,False,False,1.0,0,0
6,Naki's Urban Food,3.5,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,3,,0,"['Calle Albasanz 2', ' 28037 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d23336176-Reviews-Naki_s_Urban_Food-Madrid.html,3,0,0,0,0,0,0,False,True,False,1.0,1,1
7,Lamiak,4.5,0.43125,0.325,0.125,0.05625,0.0625,304,"'Bar', 'Mediterránea', 'Española'",1,"['Calle Cava Baja 42', ' 28005 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d5517417-Reviews-Lamiak-Madrid.html,160,1,0,0,0,0,0,True,False,False,1.0,0,0
8,Garden Navarra Castellana,3.0,0.1875,0.1953125,0.265625,0.1015625,0.25,141,"'Mediterránea', 'Europea', 'Española'",0,"['Plaza San Juan de La Cruz', ' 1 Esquina Calle Zurbano', ' 95', ' 28003 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d7715194-Reviews-Garden_Navarra_Castellana-Madrid.html,128,1,0,0,0,0,0,False,True,False,1.0,1,2
9,Restaurante Uval,4.0,0.5833333333333334,0.21428571428571427,0.07142857142857142,0.03571428571428571,0.09523809523809523,89,"'Mediterránea', 'Española', 'Opciones sin gluten'",1,"['Plaza de la Republica Argentina 6', ' 28002 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d15355806-Reviews-Restaurante_Uval-Madrid.html,84,1,0,0,0,0,1,False,True,False,1.0,1,2
10,Healthy Poke Plaza Elíptica,4.5,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3,"'Comida rápida', 'Fusión', 'Saludable'",0,"['Avenida Princesa Juana De Austria', ' 2 Interior Gimnasio Go Fit', ' 28026 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d23479008-Reviews-Healthy_Poke_Plaza_Eliptica-Madrid.html,3,0,0,0,0,0,1,False,True,False,1.0,1,1
11,Trattoria da Piero,4.5,0.6904761904761905,0.19047619047619047,0.09523809523809523,0.0,0.023809523809523808,45,"'Italiana', 'Pizza', 'Mediterránea'",0,"['Carril del Conde 106', ' 28043 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d14108074-Reviews-Trattoria_da_Piero-Madrid.html,42,1,0,0,0,0,0,False,True,False,1.0,1,2
12,La Fondue de Tell,4.0,0.27586206896551724,0.4396551724137931,0.16379310344827586,0.03879310344827586,0.08189655172413793,255,"'Suiza', 'Europea', 'Centroeuropea'",0,"['Calle Divino Pastor 12', ' 28004 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d1535929-Reviews-La_Fondue_de_Tell-Madrid.html,232,1,0,0,0,0,0,False,True,False,0.9999999999999999,1,2
13,Sumeshi,2.5,0.1,0.3,0.2,0.0,0.4,10,"'Japonesa', 'Sushi'",0,"['Avenida de la Gran Vía de Hortaleza 65A', ' 28033 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d5884241-Reviews-Sumeshi-Madrid.html,10,0,0,0,0,0,0,True,False,False,1.0,0,0
14,La Peineta,4.0,0.3333333333333333,0.3888888888888889,0.2222222222222222,0.05555555555555555,0.0,19,'Española',0,"['Calle Bucarest 5A', ' 28022 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d5614445-Reviews-La_Taberna_de_la_Peineta-Madrid.html,18,1,0,0,0,0,0,True,False,False,1.0,0,0
15,Cachapeishon,4.0,0.6,0.06666666666666667,0.08333333333333333,0.016666666666666666,0.23333333333333334,62,"'Latina', 'Venezolana'",0,"['Calle Bravo Murillo 84', ' 28003 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d15548776-Reviews-Cachapeishon-Madrid.html,60,0,0,1,0,0,0,False,True,False,1.0,1,1
16,BurgerMeister,3.0,0.22916666666666666,0.16666666666666666,0.3125,0.125,0.16666666666666666,48,'Americana',0,"['Avenida Reina Victoria 32', ' 28003 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d7034678-Reviews-BurgerMeister-Madrid.html,48,0,1,0,0,0,0,False,True,False,0.9999999999999999,1,1
17,McDonald's,2.0,0.0,0.0,0.0,1.0,0.0,1,,0,"['Centro Comercial Carrefour Ctra. Madrid Irun', ' Km. 14', '500', ' 28100 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d22844644-Reviews-McDonald_s-Madrid.html,1,0,0,0,0,0,0,False,True,False,1.0,1,1
18,Mesón de la Guitarra,4.0,0.46153846153846156,0.34615384615384615,0.07692307692307693,0.07692307692307693,0.038461538461538464,34,'Española',0,"['C/ Cava de San Miguel', ' 13', ' 28005 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d8122185-Reviews-Meson_de_la_Guitarra-Madrid.html,26,1,0,0,0,0,0,True,False,False,0.9999999999999999,0,0
19,Valdemeso,4.0,0.3893805309734513,0.36283185840707965,0.09734513274336283,0.035398230088495575,0.11504424778761062,169,"'Mediterránea', 'Europea', 'Española'",0,"['Calle Mesonero Romanos 4', ' 28013 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d2316390-Reviews-Valdemeso-Madrid.html,113,1,0,0,0,0,0,True,False,False,1.0,0,0
20,El Ancla Del Lago,3.5,0.40625,0.25,0.15625,0.0625,0.125,34,,0,"['Paseo Maria Teresa', ' 2 Casa De Campo', ' 28011 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d23545736-Reviews-El_Ancla_Del_Lago-Madrid.html,32,0,0,0,0,0,0,False,True,False,1.0,1,1
21,Umami Restaurante,5.0,1.0,0.0,0.0,0.0,0.0,4,"'Mexicana', 'Americana', 'Española'",0,"['Calle de Aragon 18 Mejorada del Campo', ' 28840 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d23598537-Reviews-Umami_Restaurante-Madrid.html,4,1,1,0,0,0,0,False,True,False,1.0,1,2
22,Queen Burger Gourmet,4.0,0.4460431654676259,0.3669064748201439,0.11151079136690648,0.039568345323741004,0.03597122302158273,288,"'Italiana', 'Española', 'Opciones sin gluten'",1,"['C\\ San Modesto 34', ' 28034 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d3532951-Reviews-Queen_Burger_Gourmet-Madrid.html,278,1,0,0,0,0,1,False,True,False,1.0,1,2
23,La Quintina,3.0,0.09090909090909091,0.36363636363636365,0.1590909090909091,0.1590909090909091,0.22727272727272727,103,'Española',0,"['Calle Mesonero Romanos 7', ' 28013 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d12848622-Reviews-La_Quintina-Madrid.html,44,1,0,0,0,0,0,False,True,False,1.0,1,2
24,Hawaii,2.5,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,6,,0,"['Juan Sánchez', ' 24', ' 28035 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d5614341-Reviews-Hawaii-Madrid.html,6,0,0,0,0,0,0,False,True,False,1.0,1,1
25,¡Que trabaje Rita,2.5,0.19444444444444445,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.3888888888888889,47,,0,"['Calle del Almendro 27', ' 28005 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d12548187-Reviews-IQue_trabaje_Rita-Madrid.html,36,0,0,0,0,0,0,False,True,False,1.0,1,1
26,Le Coq Las tablas,4.0,0.4788732394366197,0.29577464788732394,0.08450704225352113,0.056338028169014086,0.08450704225352113,71,"'Restaurante de carne', 'Internacional', 'Saludable'",0,"['Calle Viloria de La Rioja 56 Las Tablas', ' 28050 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d12731289-Reviews-Le_Coq_Las_tablas-Madrid.html,71,0,0,0,0,0,1,False,True,False,1.0,1,1
27,La Lonja,4.0,0.625,0.125,0.125,0.0,0.125,8,,0,"['Sánchez Barcaiztegui', ' 19', ' 28007 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d14215683-Reviews-La_Lonja-Madrid.html,8,0,0,0,0,0,0,False,True,False,1.0,1,1
28,Restaurante Abaco,3.0,0.14814814814814814,0.18518518518518517,0.07407407407407407,0.25925925925925924,0.3333333333333333,41,'Española',0,"['Calle Jovellanos 6', ' 28014 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d990809-Reviews-Restaurante_Abaco-Madrid.html,27,1,0,0,0,0,0,False,True,False,1.0,1,2
29,La Oficina Gastronomica,3.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,6,'Italiana',0,"['Madrid Sur', ' Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d3902952-Reviews-La_Oficina_Gastronomica-Madrid.html,6,1,0,0,0,0,0,False,True,False,1.0,1,2
30,Café & Té,3.0,0.21052631578947367,0.10526315789473684,0.3684210526315789,0.10526315789473684,0.21052631578947367,25,"'Café', 'Mediterránea'",0,"['Gran Vía', ' 70', ' 28013 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d11748947-Reviews-Cafe_Te-Madrid.html,19,0,0,0,0,0,0,True,False,False,0.9999999999999999,0,0
31,Paellamar Tirso de Molina,4.5,0.7368421052631579,0.07894736842105263,0.0,0.0,0.18421052631578946,44,"'Mediterránea', 'Española', 'Opciones vegetarianas'",0,"['Calle de Dona Urraca 15 Mercado Tirso de Molina', ' 28011 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d13322073-Reviews-Paellamar_Tirso_de_Molina-Madrid.html,38,1,0,0,0,0,0,False,True,False,1.0,1,2
32,"La Parrilla del Pinar, Madrid",3.5,0.35,0.2,0.25,0.0,0.2,21,'Española',0,"['Calle Caleruega 85 Madrid', ' 28033 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d3820818-Reviews-La_Parrilla_del_Pinar_Madrid-Madrid.html,20,1,0,0,0,0,0,False,True,False,1.0,1,2
33,Boga Boga Taberna Premium,4.0,0.5,0.25,0.0,0.25,0.0,4,'Española',0,"['Calle Caleruega 85 Pinar de Chamartín', ' 28033 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d24150270-Reviews-Boga_Boga_Taberna_Premium-Madrid.html,4,1,0,0,0,0,0,False,True,False,1.0,1,2
34,Sana Vegetariana,5.0,1.0,0.0,0.0,0.0,0.0,2,"'Café', 'Asiática', 'Pub'",0,"['Paseo De Extremadura', ' 4', ' 28011 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d23039482-Reviews-Sana_Vegetariana-Madrid.html,2,0,0,0,0,0,0,False,True,False,1.0,1,1
35,Cervecería La Sureña,2.5,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,7,,0,"['Av. De Brasil 14', ' 28020 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d13748054-Reviews-Cerveceria_La_Surena-Madrid.html,6,0,0,0,0,0,0,False,True,False,1.0,1,1
36,El Mono De La Pila,4.5,0.7777777777777778,0.12962962962962962,0.09259259259259259,0.0,0.0,64,"'Peruana', 'Latina', 'Española'",1,"['Calle de Santa Isabel 5 Mercado Anton Martin', ' Planta Principal Puesto 3', ' 28012 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d8449409-Reviews-El_Mono_De_La_Pila-Madrid.html,54,1,0,1,0,0,0,True,False,False,1.0,0,0
37,El Nueve,4.0,0.3026315789473684,0.4868421052631579,0.17105263157894737,0.02631578947368421,0.013157894736842105,81,"'Mediterránea', 'Española', 'Opciones vegetarianas'",0,"['Calle Santa Teresa 9', ' 28004 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d697545-Reviews-El_Nueve-Madrid.html,76,1,0,0,0,0,0,False,True,False,1.0,1,2
38,Paellitas Tradición,4.5,0.625,0.25,0.0,0.0,0.125,16,'Española',0,"['Calle Santa Engracia 43', ' 28010 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d25569508-Reviews-Paellitas_Tradicion-Madrid.html,16,1,0,0,0,0,0,False,True,False,1.0,1,2
39,Taberna Los Madriles,5.0,1.0,0.0,0.0,0.0,0.0,1,,0,"['Calle Padilla ', ' 63', ' 28006 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d25148931-Reviews-Taberna_Los_Madriles-Madrid.html,1,0,0,0,0,0,0,False,True,False,1.0,1,1
40,Artemisa Sol-Gran Via,4.0,0.4658385093167702,0.33229813664596275,0.08385093167701864,0.06832298136645963,0.049689440993788817,386,"'Mediterránea', 'Europea', 'Española'",0,"['Calle Tres Cruces 4', ' 28013 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d3568628-Reviews-Artemisa_Sol_Gran_Via-Madrid.html,322,1,0,0,0,0,0,False,True,False,1.0,1,2
41,La Perdiz de Somontes,3.5,0.3577981651376147,0.22018348623853212,0.09174311926605505,0.11926605504587157,0.21100917431192662,111,"'Española', 'Comedor'",0,"['Cerretera El Pardo', ' Km 2 Dentro de Complejo Deportivo Somontes', ' 28035 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d991098-Reviews-La_Perdiz_de_Somontes-Madrid.html,109,1,0,0,0,0,0,False,True,False,1.0000000000000002,1,2
42,Penalti Lounge Bar,3.5,0.4358974358974359,0.16666666666666666,0.10256410256410256,0.05128205128205128,0.24358974358974358,81,,0,"['Av. de la Reina Victoria', ' 15', ' 28003 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d8423393-Reviews-Penalti_Lounge_Bar-Madrid.html,78,0,0,0,0,0,0,False,True,False,1.0,1,1
43,Marcial Bar,4.0,0.6,0.2,0.0,0.0,0.2,6,,0,"['Calle Pedro Muguruza 8', ' 28036 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d4055434-Reviews-Marcial_Bar-Madrid.html,5,0,0,0,0,0,0,False,True,False,1.0,1,1
44,La Usina,3.5,0.5,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,12,'Española',0,"['San Joaquín', ' 14', ' 28004 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d12877248-Reviews-La_Usina-Madrid.html,12,1,0,0,0,0,0,False,True,False,0.9999999999999999,1,2
45,Maki,3.0,0.0,0.0,0.75,0.25,0.0,4,'Sushi',0,"['Calle Fromista', ' 5', ' 28050 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d10813627-Reviews-Maki-Madrid.html,4,0,0,0,0,0,0,False,True,False,1.0,1,1
46,Ondinas Do Mendo,4.5,0.5404411764705882,0.33455882352941174,0.08823529411764706,0.01838235294117647,0.01838235294117647,293,"'Bar', 'Mediterránea', 'Española'",0,"['Calle Villaamil 4', ' 28039 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d2208969-Reviews-Ondinas_Do_Mendo-Madrid.html,272,1,0,0,0,0,0,True,False,False,1.0,0,0
47,Asador Lekeitio,4.0,0.4235294117647059,0.35294117647058826,0.15294117647058825,0.03529411764705882,0.03529411764705882,86,"'Mediterránea', 'Española', 'Vasca'",0,"['Calle Uruguay 16', ' 28016 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d1115658-Reviews-Asador_Lekeitio-Madrid.html,85,1,0,0,0,0,0,False,True,False,1.0,1,2
48,La Taberna de Mister Pinkleton,4.5,0.7481481481481481,0.1925925925925926,0.027160493827160494,0.01728395061728395,0.014814814814814815,888,"'Bar', 'Mediterránea', 'Europea'",0,"['Calle Cuchilleros 7', ' 28005 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d3847118-Reviews-La_Taberna_de_Mister_Pinkleton-Madrid.html,405,0,0,0,0,0,0,False,True,False,0.9999999999999999,1,1
49,L'Adoré  Café - Bistrot,2.0,0.25,0.0,0.0,0.0,0.75,4,"'Mediterránea', 'Española'",0,"['Pl. de Cascorro', ' 20', ' 28005 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d23751591-Reviews-L_Adore_Cafe_Bistrot-Madrid.html,4,1,0,0,0,0,0,False,True,False,1.0,1,2
50,Brando,4.5,0.8421052631578947,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,25,,0,"['Calle De Hortaleza 55', ' 28004 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d23442975-Reviews-Brando_Helado-Madrid.html,19,0,0,0,0,0,0,True,False,False,0.9999999999999998,0,0
51,El Respiro,4.0,0.3729508196721312,0.36065573770491804,0.1557377049180328,0.045081967213114756,0.06557377049180328,361,"'Bar', 'Mediterránea', 'Española'",1,"['Calle Infantas 34', ' 28004 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d797554-Reviews-El_Respiro-Madrid.html,244,1,0,0,0,0,0,True,False,False,1.0,0,0
52,Café del Principe,3.5,0.19488817891373802,0.31629392971246006,0.16932907348242812,0.12779552715654952,0.19169329073482427,543,'Española',0,"['Plaza Canalejas 5', ' 28014 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d2000637-Reviews-Cafe_del_Principe-Madrid.html,313,1,0,0,0,0,0,False,True,False,1.0,1,2
53,Comenssana,4.0,0.47368421052631576,0.2631578947368421,0.21052631578947367,0.0,0.05263157894736842,20,"'Mediterránea', 'Opciones vegetarianas'",0,"['Avenida Donostiarra', ' 15', ' 28027 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d6212104-Reviews-Comenssana-Madrid.html,19,0,0,0,0,0,0,True,False,False,1.0,0,0
